year,individual_ID,snake_season,sex,reproductive_class,location_ID,date,woody_debris,ground_layer_veg,shrub_layer,rock_cover,canopy_cover,prob_density_ind,volume_contour_ind,prob_density_pop,volume_contour_pop
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-12,2016-07-08,15,60,0,100,21,8.70922E-05,57.64493239,1.34938E-05,58.44205535
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-13,2016-07-11,90,10,90,0,62,4.00707E-05,24.40316809,1.6033E-06,6.943951632
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-14,2016-07-13,70,30,10,0,65,0.000114167,75.03435135,1.19026E-05,51.550663
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-15,2016-07-15,80,10,80,0,55,4.00991E-05,24.42321105,3.60213E-06,15.60093604
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-16,2016-07-18,20,50,5,100,87,0.000122309,79.86224498,1.66496E-05,72.11005885
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-17,2016-07-20,20,50,5,100,89,7.08344E-05,45.61985662,1.35158E-05,58.53749443
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-18,2016-07-23,15,10,0,100,87,0.000127058,82.39253624,1.619E-05,70.11928043
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-19,2016-07-25,15,10,0,100,81,0.000127738,82.6730178,1.5966E-05,69.14919252
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-20,2016-07-27,100,0,0,0,10,4.73868E-05,29.10986081,8.86621E-06,38.39982821
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-21,2016-07-29,80,1,1,0,20,6.32576E-05,40.17784421,6.05677E-06,26.23205115
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-22,2016-08-01,20,50,10,0,51,0.00011156,73.5552736,6.9851E-06,30.25266899
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-23,2016-08-03,40,1,1,0,44,0.000109941,72.4807531,7.13003E-06,30.88040002
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-24,2016-08-06,80,0,30,0,12,0.000169238,96.8167114,8.34111E-06,36.12560084
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-25,2016-08-08,0,90,5,0,5,0.000171122,97.34405915,8.30053E-06,35.94986647
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-26,2016-08-10,0,70,20,0,13,0.000171177,97.36117355,8.25793E-06,35.76533589
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-27,2016-08-12,0,70,20,0,6,0.000173663,98.08569521,8.09193E-06,35.04640162
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-28,2016-08-15,60,20,20,0,45,5.10564E-05,31.551414,7.03594E-06,30.47286212
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-29,2016-08-17,50,5,1,1,40,6.67651E-05,42.59360132,2.08714E-06,9.039455214
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-30,2016-08-19,5,60,5,0,60,6.74196E-05,43.13038629,1.74061E-06,7.538617442
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-31,2016-08-22,50,5,1,5,22,4.62167E-05,28.35159022,5.16866E-06,22.38562834
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-32,2016-08-24,5,5,10,80,70,0.000115337,75.65426934,2.21757E-05,96.0438343
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-33,2016-08-27,40,10,20,30,70,7.16931E-05,46.31145821,2.21536E-05,95.94797822
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-34,2016-08-29,10,5,5,80,86,7.6008E-05,49.38917782,2.05661E-05,89.07260852
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-35,2016-08-31,10,1,10,50,51,0.000190722,99.92364319,2.17297E-05,94.11195195
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-36,2016-09-02,10,1,10,50,46,0.000155083,92.78481339,2.06622E-05,89.48877356
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-37,2016-09-05,10,1,10,50,55,0.000188669,99.77211478,2.1572E-05,93.42904669
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-38,2016-09-07,20,30,50,80,54,9.23642E-05,61.54219898,2.02297E-05,87.61553521
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-39,2016-09-10,100,0,5,0,65,0.000122675,80.0826894,1.82919E-05,79.2226039
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-40,2016-09-12,5,1,30,100,80,0.000101023,67.14488918,2.17707E-05,94.28961237
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-41,2016-09-14,5,1,30,100,75,0.000110701,72.91098833,2.2265E-05,96.43047923
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-42,2016-09-17,40,20,40,0,43,0.000156425,93.15848189,1.7095E-05,74.03916504
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-43,2016-09-21,40,10,40,0,32,0.000172418,97.73930104,1.43237E-05,62.03627275
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-44,2016-09-24,5,30,50,0,60,0.000140886,87.97752087,1.19099E-05,51.5819926
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-45,2016-09-26,5,30,50,0,57,0.000113126,74.39784239,1.19086E-05,51.57673202
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-46,2016-09-28,5,10,30,0,53,0.000161503,94.66788443,1.34178E-05,58.11297688
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-47,2016-09-30,1,1,30,100,73,0.000118732,77.56089019,2.10645E-05,91.23107022
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-48,2016-10-05,1,1,10,70,27,0.000174938,98.39955202,2.25201E-05,97.53518083
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-49,2016-10-10,1,5,10,100,51,0.000147332,90.41295399,2.13721E-05,92.56319324
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-06,2017-04-28,5,30,60,0,23,0.000113054,44.46056896,1.87778E-05,81.32706392
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-07,2017-05-04,1,60,5,40,25,0.000695206,99.86081376,2.19394E-05,95.0200249
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-08,2017-05-06,1,60,5,40,21,0.000679186,99.4487724,2.22435E-05,96.3374455
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-01,2017-05-06,5,40,50,50,52,0.000234986,31.02572485,1.19373E-05,51.70063592
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-09,2017-05-08,1,60,5,40,19,0.000664771,98.84407263,2.22639E-05,96.42554528
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-02,2017-05-08,1,10,20,1,55,0.000265596,34.49033879,1.24369E-05,53.86447978
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-10,2017-05-11,1,60,5,40,17,0.000568018,95.83750348,2.15552E-05,93.35622042
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-03,2017-05-11,10,20,50,10,61,0.000338354,43.6321955,1.26456E-05,54.76834303
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-11,2017-05-15,1,60,5,40,22,0.000439331,88.54274216,2.0995E-05,90.93017413
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-04,2017-05-15,10,20,50,10,64,0.000257977,33.7071299,1.33019E-05,57.61101771
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-08,2017-05-17,0,10,10,100,43,0.001165876,85.52074322,1.79724E-05,77.83906559
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-12,2017-05-18,10,1,20,100,55,0.000309373,79.82104276,1.61858E-05,70.1011357
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-05,2017-05-18,0,10,10,100,45,0.001154577,84.70942045,1.82798E-05,79.17042455
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-13,2017-05-21,10,80,20,0,13,0.000212737,67.88532112,2.90264E-06,12.57140508
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-06,2017-05-21,0,10,10,100,43,0.00118203,86.22451729,1.84955E-05,80.10449842
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-14,2017-05-24,10,80,20,0,12,0.000234092,71.47986033,3.1969E-06,13.84588747
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-07,2017-05-24,0,10,10,100,40,0.001033784,80.01696425,1.80027E-05,77.97038834
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-16,2017-05-31,1,50,60,30,53,0.000116275,45.59563547,3.16371E-06,13.70212875
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-09,2017-05-31,1,60,70,0,62,0.000863128,72.02443791,1.81225E-05,78.48927773
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-17,2017-06-02,10,5,1,100,75,0.000262849,75.29114916,1.64617E-05,71.29603715
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-10,2017-06-02,1,30,20,80,29,0.000342812,44.27922346,2.18263E-05,94.53054152
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-01,2017-06-02,1,40,10,60,22,0.000114881,87.70873071,2.12476E-05,92.02389501
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-01,2017-06-02,20,40,30,20,45,0.000128627,98.97671223,1.24491E-05,53.91739765
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-18,2017-06-04,40,0,0,100,37,0.000288,77.85951391,1.58622E-05,68.69951736
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-11,2017-06-04,1,30,20,80,30,0.00031965,40.90597346,2.14251E-05,92.79297317
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-02,2017-06-04,1,40,10,60,18,0.000131758,92.42510999,2.15051E-05,93.13917033
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-02,2017-06-04,20,40,30,20,45,0.000134584,99.67394101,1.24707E-05,54.01109347
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-19,2017-06-07,0,60,10,30,43,0.000691026,99.79170243,2.18885E-05,94.79984332
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-12,2017-06-07,1,70,5,30,65,0.000174608,22.83500479,2.30686E-05,99.91079356
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-03,2017-06-07,1,40,10,60,24,0.000126919,91.06871425,2.12958E-05,92.23292666
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-03,2017-06-07,10,60,40,20,35,7.8416E-05,72.7728209,1.18104E-05,51.15128414
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-20,2017-06-09,0,60,10,30,37,0.00055501,95.38793577,2.17297E-05,94.11195195
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-13,2017-06-09,5,30,10,50,54,0.000478216,53.76823982,2.21757E-05,96.04368435
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-04,2017-06-09,1,40,10,60,25,0.000114881,87.70873071,2.12476E-05,92.02389501
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-04,2017-06-09,10,60,40,20,36,0.000136401,99.90422702,1.24347E-05,53.85522312
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-21,2017-06-12,1,40,5,90,58,0.000278519,76.67041998,2.20094E-05,95.32361452
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-14,2017-06-12,5,20,80,0,35,0.000928245,74.79109232,9.18433E-06,39.77760965
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-05,2017-06-12,1,40,10,60,19,0.00012889,91.63114351,2.01196E-05,87.13850237
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-05,2017-06-12,0,90,30,10,54,0.000111065,93.67158504,1.53189E-05,66.34672647
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-01,2017-06-12,1,50,30,80,8,0.000519439,98.02697153,2.18224E-05,94.51362104
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-06,2017-06-14,10,50,50,60,69,0.00010332,88.93301098,1.7819E-05,77.17460499
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-02,2017-06-14,0,30,20,80,33,0.000454129,93.26460774,2.20808E-05,95.632645
2017,AGCO_09,2017_AGCO_09,FEMALE,NGR,2017-09-01,2017-06-14,0,10,10,100,36,0.001086795,91.53342892,1.8159E-05,78.64709701
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-22,2017-06-16,10,30,10,40,62,0.00043257,88.23810682,2.26774E-05,98.21668452
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-15,2017-06-16,50,50,20,0,39,0.001185627,86.46104876,9.55936E-06,41.40187855
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-06,2017-06-16,1,30,10,50,20,0.00015268,98.68397015,1.99415E-05,86.36715532
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-07,2017-06-16,1,20,70,60,59,0.000124208,98.22083878,1.67717E-05,72.638688
2017,AGCO_09,2017_AGCO_09,FEMALE,NGR,2017-09-02,2017-06-16,0,10,10,100,42,0.001159332,94.33596889,1.82798E-05,79.17042455
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-23,2017-06-20,0,90,20,0,73,0.000196116,64.58245913,2.01921E-05,87.4527696
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-16,2017-06-20,50,50,20,0,43,0.001508402,95.15505824,9.41597E-06,40.78087638
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-07,2017-06-20,5,20,50,5,50,3.73119E-05,47.04185614,7.68029E-06,33.26356898
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-08,2017-06-20,10,50,20,10,71,7.88902E-05,73.04823408,1.60251E-05,69.40535297
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-04,2017-06-20,0,50,20,80,20,0.000494486,96.20207199,2.11511E-05,91.60628161
2017,AGCO_09,2017_AGCO_09,FEMALE,NGR,2017-09-03,2017-06-20,5,60,0,100,75,0.000141917,26.13086878,2.83052E-06,12.25906724
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-08,2017-06-21,0,30,40,70,46,7.29976E-05,69.68734855,1.39718E-05,60.51217233
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-09,2017-06-21,40,20,10,0,66,4.3276E-05,43.36962782,1.74624E-05,75.63033198
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-24,2017-06-23,10,30,40,1,61,0.000187856,62.564805,1.92289E-05,83.2810267
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-17,2017-06-23,50,50,20,0,45,0.001224737,88.02265956,8.91649E-06,38.61757894
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-09,2017-06-23,0,30,40,70,54,0.000119749,89.0468633,1.74731E-05,75.67667511
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-10,2017-06-23,20,50,40,0,87,4.70268E-05,46.8022882,9.09383E-06,39.38566155
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-05,2017-06-23,0,50,20,80,15,0.000470894,94.41875576,2.04136E-05,88.4117328
2017,AGCO_09,2017_AGCO_09,FEMALE,NGR,2017-09-04,2017-06-23,0,20,20,100,38,0.001265074,98.32677249,1.96905E-05,85.28036456
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-25,2017-06-26,1,30,80,0,34,0.000202083,65.87881142,9.30345E-06,40.2935423
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-18,2017-06-26,50,50,20,0,41,0.001398597,92.37052629,9.19421E-06,39.8204272
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-10,2017-06-26,5,30,20,70,37,0.00015268,98.68397015,1.99415E-05,86.36715532
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-11,2017-06-26,0,90,0,0,0,6.87722E-05,65.61079384,7.30479E-06,31.63728979
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-06,2017-06-26,0,50,20,80,16,0.000534512,99.08084605,2.15051E-05,93.13917033
2017,AGCO_09,2017_AGCO_09,FEMALE,NGR,2017-09-05,2017-06-26,0,20,20,100,41,0.001297903,99.34908859,1.89036E-05,81.87217243
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-26,2017-06-29,1,30,80,0,27,0.000202829,66.04074873,1.01763E-05,44.07404697
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-19,2017-06-29,50,50,20,0,36,0.001506986,95.00434059,9.20023E-06,39.8464809
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-11,2017-06-29,5,30,20,70,41,0.00014076,95.16287039,2.05209E-05,88.87670998
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-12,2017-06-29,0,90,0,0,4,9.3453E-05,82.83901439,7.23122E-06,31.31862942
2017,AGCO_09,2017_AGCO_09,FEMALE,NGR,2017-09-06,2017-06-29,0,20,20,100,40,0.001224728,96.71155291,1.859E-05,80.51388656
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-27,2017-07-02,5,50,30,10,32,0.000112733,44.29124586,1.28649E-05,55.7182116
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-20,2017-07-02,50,50,20,0,45,0.000440278,51.52395948,1.04296E-05,45.1709665
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-12,2017-07-02,0,90,0,0,0,5.2139E-05,58.37895335,8.9958E-06,38.96107924
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-13,2017-07-02,0,90,0,0,2,0.00010794,91.76508128,6.25045E-06,27.07087827
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-08,2017-07-02,0,50,20,80,20,0.000531142,98.86780094,2.11547E-05,91.62165422
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-08,2017-07-02,0,50,20,80,22,0.000435788,91.97370638,1.93454E-05,83.78563125
2017,AGCO_09,2017_AGCO_09,FEMALE,NGR,2017-09-07,2017-07-02,0,20,20,100,38,0.001167832,94.68452902,1.98729E-05,86.07010157
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-28,2017-07-05,10,30,50,0,67,0.000113759,44.77782615,5.12037E-06,22.17648377
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-21,2017-07-05,50,50,20,0,43,0.001633187,97.82779197,9.3525E-06,40.5059649
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-13,2017-07-05,0,90,0,0,0,9.47433E-05,80.62454136,7.14233E-06,30.93365281
2017,AGCO_09,2017_AGCO_09,FEMALE,NGR,2017-09-08,2017-07-05,10,10,0,100,50,0.001224728,96.71155291,1.859E-05,80.51388656
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-14,2017-07-06,0,90,0,0,0,6.1554E-05,59.87298362,6.02184E-06,26.08078033
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-29,2017-07-08,1,10,10,1,90,0.000113631,44.73234329,2.562E-06,11.09609462
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-14,2017-07-08,0,90,1,0,0,0.000100276,83.39278482,7.67525E-06,33.24173591
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-15,2017-07-08,0,80,0,0,0,0.000104206,89.35828202,5.05312E-06,21.88522828
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-09,2017-07-08,5,30,30,80,45,9.12469E-05,40.40964976,2.0174E-05,87.37419265
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-30,2017-07-10,0,50,50,0,47,0.000256968,74.53876305,3.01677E-06,13.06574508
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-23,2017-07-10,50,50,20,0,45,0.001553734,95.76442426,9.71069E-06,42.05728899
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-15,2017-07-10,0,90,0,0,0,3.33079E-05,41.48904408,6.23827E-06,27.01813843
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-16,2017-07-10,0,80,0,0,3,9.97822E-05,86.66012785,4.96787E-06,21.51601087
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-10,2017-07-10,0,5,30,50,29,0.000532169,98.9209219,2.06124E-05,89.27280342
2017,AGCO_09,2017_AGCO_09,FEMALE,NGR,2017-09-09,2017-07-10,1,1,1,100,51,0.00119742,95.86606225,1.88591E-05,81.67930684
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-31,2017-07-12,1,40,30,100,22,0.000128855,48.96726104,2.34769E-06,10.167913
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-11,2017-07-12,0,70,20,0,74,0.000244538,76.84134565,2.1074E-05,91.2720473
2017,AGCO_09,2017_AGCO_09,FEMALE,NGR,2017-09-10,2017-07-12,5,5,5,100,66,0.001049601,89.72187148,2.06404E-05,89.39436869
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-24,2017-07-17,50,50,20,0,37,0.001300287,89.40461054,1.00017E-05,43.31771626
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-16,2017-07-17,0,80,0,0,0,3.75289E-05,47.30386251,4.73384E-06,20.50241993
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-17,2017-07-17,0,90,20,0,0,5.62127E-05,55.271419,8.54807E-06,37.02195286
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-12,2017-07-17,5,10,1,100,77,0.000246805,77.25797992,2.12317E-05,91.9549811
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-32,2017-07-17,5,40,40,0,61,0.000165833,57.80066304,3.7175E-06,16.10062873
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-25,2017-07-19,50,50,20,0,37,0.001463282,93.51913742,9.87551E-06,42.77114835
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-17,2017-07-19,0,100,0,0,1,3.77711E-05,47.57873159,6.51756E-06,28.22775235
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-18,2017-07-19,20,50,40,0,95,7.9948E-05,73.88218182,6.05459E-06,26.22260488
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-13,2017-07-19,5,10,1,100,82,0.000237554,75.63631368,2.10466E-05,91.15343323
2017,AGCO_09,2017_AGCO_09,FEMALE,NGR,2017-09-12,2017-07-19,0,10,10,100,59,0.000845704,80.82457924,1.7442E-05,75.54168476
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-33,2017-07-19,10,20,20,5,83,0.000254063,74.25793805,2.97842E-06,12.8996337
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-26,2017-07-24,50,50,20,0,44,0.000648871,61.88474517,1.03093E-05,44.65009324
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-18,2017-07-24,5,20,10,100,58,3.01812E-05,37.40537664,8.00605E-06,34.67445514
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-14,2017-07-24,5,10,1,100,81,0.000186658,64.06987369,2.23274E-05,96.70071466
2017,AGCO_09,2017_AGCO_09,FEMALE,NGR,2017-09-13,2017-07-24,40,20,20,10,68,0.000587263,68.81748626,2.16342E-05,93.69821035
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-34,2017-07-24,5,20,60,60,65,0.000118912,46.39493851,3.5287E-07,1.528289199
2017,AGCO_05,2017_AGCO_05,FEMALE,GVD,2017-05-27,2017-07-27,50,50,20,0,35,0.001132967,83.79520685,1.00317E-05,43.44763673
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-19,2017-07-27,10,20,20,90,17,0.000114459,87.5825873,1.83731E-05,79.57436905
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-35,2017-07-27,20,10,40,30,57,0.000118914,46.40683119,3.72039E-07,1.61131146
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-20,2017-07-30,10,20,20,90,25,0.000144534,96.24734801,2.00534E-05,86.85184097
2017,AGCO_08,2017_AGCO_08,FEMALE,GVD,2017-08-15,2017-07-30,5,30,40,0,57,0.000147435,53.53617043,1.84464E-05,79.89203463
2017,AGCO_09,2017_AGCO_09,FEMALE,NGR,2017-09-14,2017-07-30,5,20,40,0,60,0.000142133,26.21609835,1.49891E-05,64.91814942
2017,AGCO_03,2017_AGCO_03,FEMALE,NGR,2017-03-36,2017-07-30,5,20,10,10,69,0.000244354,72.96139285,2.15294E-05,93.2447022
2017,AGCO_06,2017_AGCO_06,MALE,MAL,2017-06-21,2017-08-01,10,20,20,90,15,0.000131902,92.46464901,1.83064E-05,79.285812
2017,AGCO_07,2017_AGCO_07,MALE,MAL,2017-07-20,2017-08-01,10,30,20,30,55,4.24779E-05,42.55934249,7.04582E-07,3.051565333
